date,platform,asset,track_or_playlist,hook,cta,status
2026-06-29,SoundCloud profile,Playlist share,Dutch Songs,"Nederlandstalige pop/reggae with emotion and resilience.","Listen to Dutch Songs on SoundCloud",draft
2026-06-30,TikTok/Reels/Shorts,Vertical clip,Carnival,"This one is built for summer energy.","Play Electronic Summer",draft
2026-07-01,Instagram Story,Poll,Dutch Songs,"Which mood hits harder: farewell or fight?","Vote and listen to Dutch Songs",draft
2026-07-02,YouTube Shorts,Vertical clip,Geen Afscheid,"A Dutch pop/reggae farewell track.","Listen to Dutch Songs",draft
2026-07-03,TikTok/Reels/Shorts,Vertical clip,Weekend Mode,"Weekend mode: on.","Play Electronic Summer",draft
2026-07-04,Instagram Feed,Carousel,MarcsMusic,"Two sides of MarcsMusic: Dutch emotion and electronic summer.","Pick a playlist",draft
2026-07-05,SoundCloud,Insight check,All tracks,"Weekly check: plays, likes, comments, reposts, follows.","Update tracker",ready
2026-07-06,TikTok/Reels/Shorts,Vertical clip,Door de Storm,"For the days you have to push through.","Listen to Dutch Songs",draft
2026-07-07,Instagram Story,Question box,All tracks,"Which track should get a video next?","Reply with a title",draft
2026-07-08,YouTube Shorts,Vertical clip,Summer Time,"Feel-good pop energy for sunny days.","Play Electronic Summer",draft
2026-07-09,TikTok/Reels/Shorts,Vertical clip,Strijd,"A track about resilience and emotion.","Listen to Dutch Songs",draft
2026-07-10,Instagram Reels,Vertical clip,Electronic Summer,"Three tracks for summer, party and festival energy.","Save Electronic Summer",draft
2026-07-11,X/Threads,Short post,Dutch Songs,"Dutch Songs is the emotional side of MarcsMusic.","Listen on SoundCloud",draft
2026-07-12,SoundCloud,Insight check,All tracks,"Weekly check: which playlist moved?","Update tracker",ready
2026-07-13,TikTok/Reels/Shorts,Vertical clip,Carnival,"House, moombahton, dance, summer.","Play Carnival",draft
2026-07-14,Instagram Story,Behind the scenes,All tracks,"Building two lanes: Dutch songs and electronic summer.","Open profile",draft
2026-07-15,YouTube Shorts,Vertical clip,Geen Afscheid,"No big explanation, just the feeling.","Listen to Dutch Songs",draft
2026-07-16,TikTok/Reels/Shorts,Vertical clip,Weekend Mode,"Late night, lights low, weekend high.","Play Weekend Mode",draft
2026-07-17,Instagram Feed,Static/Carousel,Dutch Songs,"Three Dutch tracks, one emotional lane.","Save Dutch Songs",draft
2026-07-18,X/Threads,Short post,Electronic Summer,"Electronic Summer is live: Carnival, Summer Time, Weekend Mode.","Listen on SoundCloud",draft
2026-07-19,SoundCloud,Insight check,All tracks,"Weekly check: top track and top listener source.","Update tracker",ready
2026-07-20,TikTok/Reels/Shorts,Vertical clip,Door de Storm,"The title says it: through the storm.","Play Door de Storm",draft
2026-07-21,Instagram Story,Poll,Electronic Summer,"Best electronic track: Carnival, Summer Time or Weekend Mode?","Vote and listen",draft
2026-07-22,YouTube Shorts,Vertical clip,Summer Time,"A simple sunny hook for a simple sunny track.","Play Summer Time",draft
2026-07-23,TikTok/Reels/Shorts,Vertical clip,Strijd,"Some songs are not soft. They keep going.","Play Strijd",draft
2026-07-24,Instagram Reels,Vertical clip,Dutch Songs,"Nederlandstalig, emotional, direct.","Listen to Dutch Songs",draft
2026-07-25,X/Threads,Short post,MarcsMusic,"MarcsMusic now has two clear lanes on SoundCloud.","Pick one playlist",draft
2026-07-26,SoundCloud,Insight check,All tracks,"Weekly check: compare plays by playlist.","Update tracker",ready
2026-07-27,TikTok/Reels/Shorts,Vertical clip,Electronic Summer,"If you only have 10 minutes, start here.","Play Electronic Summer",draft
2026-07-28,Instagram Feed,Recap post,All tracks,"30 days of testing starts with two playlists and six tracks.","Follow MarcsMusic",draft
